Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Signal peptide	Topological domain	Subcellular location [CC]	yourlist:M201905316746803381A1F0E0DB47453E0216320D1CCA86Y
Q99729	ROAA_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB ABBP1 HNRPAB	Homo sapiens (Human)	332				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17289661}. Cytoplasm {ECO:0000269|PubMed:17289661}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	Q99729-3
Q96SZ6	CK5P1_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 1 (CDK5 activator-binding protein C42)	CDK5RAP1 C20orf34 CGI-05 HSPC167	Homo sapiens (Human)	601					Q96SZ6-4
O95819	M4K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	Homo sapiens (Human)	1239				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14966141}.	O95819
P12110	CO6A2_HUMAN	reviewed	Collagen alpha-2(VI) chain	COL6A2	Homo sapiens (Human)	1019		SIGNAL 1 20 {ECO:0000255}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:8305732}. Membrane {ECO:0000269|PubMed:8305732}; Peripheral membrane protein {ECO:0000269|PubMed:8305732}. Note=Recruited on membranes by CSPG4.	P12110
P17948	VGFR1_HUMAN	reviewed	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	FLT1 FLT FRT VEGFR1	Homo sapiens (Human)	1338	TRANSMEM 759 780 Helical. {ECO:0000255}.	SIGNAL 1 26 {ECO:0000269|PubMed:8248162}.	TOPO_DOM 27 758 Extracellular. {ECO:0000255}.; TOPO_DOM 781 1338 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Isoform 1: Cell membrane; Single-pass type I membrane protein. Endosome. Note=Autophosphorylation promotes ubiquitination and endocytosis.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:8248162}.; SUBCELLULAR LOCATION: Isoform 3: Secreted.; SUBCELLULAR LOCATION: Isoform 4: Secreted.; SUBCELLULAR LOCATION: Isoform 5: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 6: Cytoplasm {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 7: Cytoplasm {ECO:0000305}.	P17948-2
Q9UQB8	BAIP2_HUMAN	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	BAIAP2	Homo sapiens (Human)	552				SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein. Cell projection, filopodium. Cell projection, ruffle. Cytoplasm, cytoskeleton. Note=Detected throughout the cytoplasm in the absence of specific binding partners. Detected in filopodia and close to membrane ruffles. Recruited to actin pedestals that are formed upon infection by bacteria at bacterial attachment sites.	Q9UQB8
P19440	GGT1_HUMAN	reviewed	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	GGT1 GGT	Homo sapiens (Human)	569	TRANSMEM 5 26 Helical; Signal-anchor for type II membrane protein. {ECO:0000305}.		TOPO_DOM 1 4 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 27 569 Extracellular. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23682772, ECO:0000269|PubMed:8095045}; Single-pass type II membrane protein {ECO:0000269|PubMed:23682772, ECO:0000269|PubMed:8095045}.	P19440-2
Q8NBU5	ATAD1_HUMAN	reviewed	ATPase family AAA domain-containing protein 1 (EC 3.6.1.3) (Thorase)	ATAD1 FNP001	Homo sapiens (Human)	361				SUBCELLULAR LOCATION: Peroxisome {ECO:0000250|UniProtKB:Q9D5T0}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:Q9D5T0}.	Q8NBU5
Q9HBD1	RC3H2_HUMAN	reviewed	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	RC3H2 MNAB RNF164	Homo sapiens (Human)	1191				SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000250}. Note=During stress, such as that induced by arsenite, localizes to cytosolic stress granules. Localization to stress granules, but not to P-bodies, depends upon the RING-type zinc finger. {ECO:0000269|PubMed:20412057}.	Q9HBD1-2
Q92963	RIT1_HUMAN	reviewed	GTP-binding protein Rit1 (Ras-like protein expressed in many tissues) (Ras-like without CAAX protein 1)	RIT1 RIBB RIT ROC1	Homo sapiens (Human)	219				SUBCELLULAR LOCATION: Cell membrane.	Q92963-2
Q04864	REL_HUMAN	reviewed	Proto-oncogene c-Rel	REL	Homo sapiens (Human)	619				SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.	Q04864-2
Q8NB16	MLKL_HUMAN	reviewed	Mixed lineage kinase domain-like protein (hMLKL)	MLKL	Homo sapiens (Human)	471				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24316671}. Cell membrane {ECO:0000269|PubMed:24316671, ECO:0000269|PubMed:29883610}. Note=Localizes to the cytoplasm and translocates to the plasma membrane on necroptosis induction.	Q8NB16-2
P41229	KDM5C_HUMAN	reviewed	Lysine-specific demethylase 5C (EC 1.14.11.-) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169)	KDM5C DXS1272E JARID1C SMCX XE169	Homo sapiens (Human)	1560				SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000255|PROSITE-ProRule:PRU00537, ECO:0000269|PubMed:17468742}.	P41229-2
Q99538	LGMN_HUMAN	reviewed	Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)	LGMN PRSC1	Homo sapiens (Human)	433		SIGNAL 1 17 {ECO:0000269|PubMed:11085925}.		SUBCELLULAR LOCATION: Lysosome {ECO:0000250}.	Q99538-3
Q13315	ATM_HUMAN	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	3056				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}. Cytoplasmic vesicle {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}. Note=Primarily nuclear. Found also in endocytic vesicles in association with beta-adaptin. {ECO:0000269|PubMed:9050866, ECO:0000269|PubMed:9150358}.	Q13315
Q99653	CHP1_HUMAN	reviewed	Calcineurin B homologous protein 1 (Calcineurin B-like protein) (Calcium-binding protein CHP) (Calcium-binding protein p22) (EF-hand calcium-binding domain-containing protein p22)	CHP1 CHP	Homo sapiens (Human)	195				SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P61023}. Cytoplasm {ECO:0000250|UniProtKB:P61023}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P61023}. Endomembrane system {ECO:0000250|UniProtKB:P61023}. Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000250|UniProtKB:P61023}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P61023}. Cell membrane {ECO:0000269|PubMed:15035633}. Membrane {ECO:0000269|PubMed:11350981}; Lipid-anchor {ECO:0000269|PubMed:25255805}. Note=Localizes in cytoplasmic compartments in dividing cells. Localizes in the nucleus in quiescent cells. Exported from the nucleus to the cytoplasm through a nuclear export signal (NES) and CRM1-dependent pathway. May shuttle between nucleus and cytoplasm. Localizes with the microtubule-organizing center (MTOC) and extends toward the periphery along microtubules. Associates with membranes of the early secretory pathway in a GAPDH-independent, N-myristoylation- and calcium-dependent manner. Colocalizes with the mitotic spindle microtubules. Colocalizes with GAPDH along microtubules. Colocalizes with SLC9A1 at the reticulum endoplasmic and plasma membrane. Colocalizes with STK17B at the plasma membrane. {ECO:0000250|UniProtKB:P61023}.	Q99653
Q9UKU7	ACAD8_HUMAN	reviewed	Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)	ACAD8 ARC42 IBD	Homo sapiens (Human)	415				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11013134}.	Q9UKU7
Q8IY33	MILK2_HUMAN	reviewed	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)	MICALL2 JRAB	Homo sapiens (Human)	904				SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Recycling endosome {ECO:0000250}. Cell projection {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.	Q8IY33
Q13472	TOP3A_HUMAN	reviewed	DNA topoisomerase 3-alpha (EC 5.6.2.2) (DNA topoisomerase III alpha)	TOP3A TOP3	Homo sapiens (Human)	1001				SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:29290614}.	Q13472-3
P54132	BLM_HUMAN	reviewed	Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	BLM RECQ2 RECQL3	Homo sapiens (Human)	1417				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23509288}. Note=Together with SPIDR, is redistributed in discrete nuclear DNA damage-induced foci following hydroxyurea (HU) or camptothecin (CPT) treatment. Accumulated at sites of DNA damage in a RMI complex- and SPIDR-dependent manner.	P54132
Q8IWB1	IPRI_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor-interacting protein (Protein DANGER)	ITPRIP DANGER KIAA1754	Homo sapiens (Human)	547		SIGNAL 1 15 {ECO:0000255}.		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16990268}.	Q8IWB1
Q16659	MK06_HUMAN	reviewed	Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK)	MAPK6 ERK3 PRKM6	Homo sapiens (Human)	721				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Translocates to the cytoplasm following interaction with MAPKAPK5. {ECO:0000250}.	Q16659
P05161	ISG15_HUMAN	reviewed	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	Homo sapiens (Human)	165				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22859821}. Secreted {ECO:0000269|PubMed:22859821}. Note=Exists in three distinct states: free within the cell, released into the extracellular space, or conjugated to target proteins.	P05161
Q96G01	BICD1_HUMAN	reviewed	Protein bicaudal D homolog 1 (Bic-D 1)	BICD1	Homo sapiens (Human)	975				SUBCELLULAR LOCATION: Golgi apparatus.	Q96G01-4
Q5SXM8	DNLZ_HUMAN	reviewed	DNL-type zinc finger protein (Hsp70-escort protein 1) (HEP1) (mtHsp70-escort protein)	DNLZ C9orf151	Homo sapiens (Human)	178				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23462535}.	Q5SXM8
P46531	NOTC1_HUMAN	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	Homo sapiens (Human)	2555	TRANSMEM 1736 1756 Helical. {ECO:0000269|PubMed:28439555, ECO:0000269|PubMed:30598546}.	SIGNAL 1 18 {ECO:0000255}.	TOPO_DOM 19 1735 Extracellular. {ECO:0000305|PubMed:28439555, ECO:0000305|PubMed:30598546}.; TOPO_DOM 1757 2555 Cytoplasmic. {ECO:0000305|PubMed:28439555, ECO:0000305|PubMed:30598546}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q01705}; Single-pass type I membrane protein {ECO:0000305|PubMed:30598546}.; SUBCELLULAR LOCATION: Notch 1 intracellular domain: Nucleus {ECO:0000250|UniProtKB:Q01705}. Note=Following proteolytical processing NICD is translocated to the nucleus. Nuclear location may require MEGF10. {ECO:0000250|UniProtKB:Q01705}.	P46531
Q8NAP3	ZBT38_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 38	ZBTB38	Homo sapiens (Human)	1195				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16354688}. Chromosome {ECO:0000269|PubMed:16354688}. Note=Localizes to chromocenters. {ECO:0000269|PubMed:16354688}.	Q8NAP3
Q9C0H5	RHG39_HUMAN	reviewed	Rho GTPase-activating protein 39	ARHGAP39 KIAA1688	Homo sapiens (Human)	1083				SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	Q9C0H5
P47712	PA24A_HUMAN	reviewed	Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)]	PLA2G4A CPLA2 PLA2G4	Homo sapiens (Human)	749				SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic vesicle. Note=Translocates to membrane vesicles in a calcium-dependent fashion.	P47712
Q3B7T1	EDRF1_HUMAN	reviewed	Erythroid differentiation-related factor 1	EDRF1 C10orf137	Homo sapiens (Human)	1238				SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	Q3B7T1-5
O95477	ABCA1_HUMAN	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261	TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 640 660 Helical. {ECO:0000255}.; TRANSMEM 683 703 Helical. {ECO:0000255}.; TRANSMEM 716 736 Helical. {ECO:0000255}.; TRANSMEM 745 765 Helical. {ECO:0000255}.; TRANSMEM 777 797 Helical. {ECO:0000255}.; TRANSMEM 827 847 Helical. {ECO:0000255}.; TRANSMEM 1041 1057 Helical. {ECO:0000255}.; TRANSMEM 1351 1371 Helical. {ECO:0000255}.; TRANSMEM 1657 1677 Helical. {ECO:0000255}.; TRANSMEM 1703 1723 Helical. {ECO:0000255}.; TRANSMEM 1735 1755 Helical. {ECO:0000255}.; TRANSMEM 1768 1788 Helical. {ECO:0000255}.; TRANSMEM 1802 1822 Helical. {ECO:0000255}.; TRANSMEM 1852 1872 Helical. {ECO:0000255}.		TOPO_DOM 43 639 Extracellular.; TOPO_DOM 1372 1656 Extracellular.	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522}; Multi-pass membrane protein {ECO:0000269|PubMed:19258317, ECO:0000269|PubMed:19556522}.	O95477
Q86U90	YRDC_HUMAN	reviewed	YrdC domain-containing protein, mitochondrial (Dopamine receptor-interacting protein 3) (Ischemia/reperfusion-inducible protein homolog) (hIRIP)	YRDC DRIP3 IRIP	Homo sapiens (Human)	279				SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}. Membrane; Peripheral membrane protein. Note=Predominantly localized in the plasma membrane. {ECO:0000250}.	Q86U90
Q9Y5L4	TIM13_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim13	TIMM13 TIM13B TIMM13A TIMM13B	Homo sapiens (Human)	95				SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896}; Peripheral membrane protein {ECO:0000269|PubMed:11489896}; Intermembrane side {ECO:0000269|PubMed:11489896}.	Q9Y5L4
Q86V35	CABP7_HUMAN	reviewed	Calcium-binding protein 7 (CaBP7) (Calneuron II) (Calneuron-2)	CABP7 CALN2	Homo sapiens (Human)	215	TRANSMEM 189 209 Helical; Anchor for type IV membrane protein. {ECO:0000255}.		TOPO_DOM 1 188 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 210 215 Extracellular. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19338761}. Cell membrane {ECO:0000305|PubMed:19338761}; Single-pass type IV membrane protein {ECO:0000305|PubMed:19338761}.	Q86V35
P27701	CD82_HUMAN	reviewed	CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1) (Suppressor of tumorigenicity 6 protein) (Tetraspanin-27) (Tspan-27) (CD antigen CD82)	CD82 KAI1 SAR2 ST6 TSPAN27	Homo sapiens (Human)	267	TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 54 72 Helical. {ECO:0000255}.; TRANSMEM 84 110 Helical. {ECO:0000255}.; TRANSMEM 229 250 Helical. {ECO:0000255}.		TOPO_DOM 1 11 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 33 53 Extracellular. {ECO:0000255}.; TOPO_DOM 73 83 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 111 228 Extracellular. {ECO:0000255}.; TOPO_DOM 251 267 Cytoplasmic. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	P27701
A0PK00	T120B_HUMAN	reviewed	Transmembrane protein 120B	TMEM120B	Homo sapiens (Human)	339	TRANSMEM 102 124 Helical. {ECO:0000255}.; TRANSMEM 132 152 Helical. {ECO:0000255}.; TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 187 207 Helical. {ECO:0000255}.; TRANSMEM 270 290 Helical. {ECO:0000255}.; TRANSMEM 302 322 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q3TA38}; Multi-pass membrane protein {ECO:0000255}.	A0PK00
P21589	5NTD_HUMAN	reviewed	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	NT5E NT5 NTE	Homo sapiens (Human)	574		SIGNAL 1 26 {ECO:0000269|PubMed:2173922}.		SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.	P21589
Q68CR1	SE1L3_HUMAN	reviewed	Protein sel-1 homolog 3 (Suppressor of lin-12-like protein 3) (Sel-1L3)	SEL1L3 KIAA0746	Homo sapiens (Human)	1132	TRANSMEM 1057 1077 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Q68CR1
Q9HBH0	RHOF_HUMAN	reviewed	Rho-related GTP-binding protein RhoF (Rho family GTPase Rif) (Rho in filopodia)	RHOF ARHF RIF	Homo sapiens (Human)	211				SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, cytoskeleton.	Q9HBH0-2
Q8N2W9	PIAS4_HUMAN	reviewed	E3 SUMO-protein ligase PIAS4 (EC 2.3.2.27) (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma) (RING-type E3 ubiquitin transferase PIAS4)	PIAS4 PIASG	Homo sapiens (Human)	510				SUBCELLULAR LOCATION: Nucleus, PML body {ECO:0000269|PubMed:11248056, ECO:0000269|PubMed:12727872, ECO:0000269|PubMed:15831457}. Note=Colocalizes with SUMO1 and TCF7L2/TCF4 and LEF1 in a subset of PML (promyelocytic leukemia) nuclear bodies.	Q8N2W9
P01137	TGFB1_HUMAN	reviewed	Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	TGFB1 TGFB	Homo sapiens (Human)	390		SIGNAL 1 29 {ECO:0000269|PubMed:3162913}.		SUBCELLULAR LOCATION: Latency-associated peptide: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17827158}.; SUBCELLULAR LOCATION: Transforming growth factor beta-1: Secreted {ECO:0000269|PubMed:17827158, ECO:0000269|PubMed:29483653}.	P01137
Q8TCD1	CR032_HUMAN	reviewed	UPF0729 protein C18orf32 (Putative NF-kappa-B-activating protein 200)	C18orf32	Homo sapiens (Human)	76					Q8TCD1
Q92686	NEUG_HUMAN	reviewed	Neurogranin (Ng) (RC3) [Cleaved into: NEUG(55-78)]	NRGN	Homo sapiens (Human)	78					Q92686
Q9HC96	CAN10_HUMAN	reviewed	Calpain-10 (EC 3.4.22.-) (Calcium-activated neutral proteinase 10) (CANP 10)	CAPN10 KIAA1845	Homo sapiens (Human)	672					Q9HC96-4
Q8N9F7	GDPD1_HUMAN	reviewed	Lysophospholipase D GDPD1 (EC 3.1.4.39) (Glycerophosphodiester phosphodiesterase 4) (Glycerophosphodiester phosphodiesterase domain-containing protein 1)	GDPD1 GDE4	Homo sapiens (Human)	314	TRANSMEM 4 24 Helical. {ECO:0000255}.; TRANSMEM 196 216 Helical. {ECO:0000255}.		TOPO_DOM 1 3 Extracellular. {ECO:0000255}.; TOPO_DOM 25 195 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 217 314 Extracellular. {ECO:0000255}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:18991142}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:18991142}. Note=Concentrated at the perinuclear region and the cell periphery (PubMed:18991142). {ECO:0000269|PubMed:18991142}.	Q8N9F7-3
Q9C0D9	EPT1_HUMAN	reviewed	Ethanolaminephosphotransferase 1 (hEPT1) (EC 2.7.8.1) (Selenoprotein I) (SelI)	SELENOI EPT1 KIAA1724 SELI	Homo sapiens (Human)	397	TRANSMEM 47 69 Helical. {ECO:0000255}.; TRANSMEM 84 103 Helical. {ECO:0000255}.; TRANSMEM 123 145 Helical. {ECO:0000255}.; TRANSMEM 150 172 Helical. {ECO:0000255}.; TRANSMEM 179 201 Helical. {ECO:0000255}.; TRANSMEM 221 243 Helical. {ECO:0000255}.; TRANSMEM 256 278 Helical. {ECO:0000255}.; TRANSMEM 291 310 Helical. {ECO:0000255}.; TRANSMEM 317 339 Helical. {ECO:0000255}.; TRANSMEM 344 366 Helical. {ECO:0000255}.			SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Q9C0D9
P61960	UFM1_HUMAN	reviewed	Ubiquitin-fold modifier 1	UFM1 C13orf20 BM-002	Homo sapiens (Human)	85				SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15071506}. Cytoplasm {ECO:0000269|PubMed:15071506}.	P61960
P30533	AMRP_HUMAN	reviewed	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	LRPAP1 A2MRAP	Homo sapiens (Human)	357		SIGNAL 1 34 {ECO:0000255}.		SUBCELLULAR LOCATION: Rough endoplasmic reticulum lumen {ECO:0000269|PubMed:7774585}. Endoplasmic reticulum-Golgi intermediate compartment lumen {ECO:0000269|PubMed:7774585}. Golgi apparatus, cis-Golgi network {ECO:0000269|PubMed:7774585}. Golgi apparatus lumen {ECO:0000269|PubMed:7774585}. Endosome lumen {ECO:0000269|PubMed:7774585}. Cell surface {ECO:0000269|PubMed:11384978}. Note=May be associated with receptors at the cell surface. {ECO:0000269|PubMed:11384978}.	P30533
O76003	GLRX3_HUMAN	reviewed	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335				SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:27519415}. Cytoplasm, cell cortex {ECO:0000269|PubMed:10636891}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:Q9CQM9}. Note=Under the plasma membrane (By similarity). After PMA stimulation, GLRX3 and PRKCQ/PKC-theta translocate to a more extended submembrane area (By similarity). In the Z line, found associated with CSRP3 (By similarity). {ECO:0000250|UniProtKB:Q9CQM9}.	O76003
O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490				SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11790298, ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:18678645, ECO:0000269|PubMed:22419112}. Note=Colocalizes with ING1 in the nucleolus after UV stress. {ECO:0000269|PubMed:22419112}.	O76021
P08574	CY1_HUMAN	reviewed	Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)	CYC1	Homo sapiens (Human)	325	TRANSMEM 292 306 Helical; Note=Anchors to the membrane. {ECO:0000255}.			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Single-pass membrane protein; Intermembrane side.	P08574
P09104	ENOG_HUMAN	reviewed	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2	Homo sapiens (Human)	434				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. {ECO:0000250}.	P09104
P07711	CATL1_HUMAN	reviewed	Cathepsin L1 (EC 3.4.22.15) (Cathepsin L) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L1 heavy chain; Cathepsin L1 light chain]	CTSL CTSL1	Homo sapiens (Human)	333		SIGNAL 1 17 {ECO:0000250|UniProtKB:P07154}.		SUBCELLULAR LOCATION: Lysosome.	P07711
Q6MZQ0	PRR5L_HUMAN	reviewed	Proline-rich protein 5-like (Protein observed with Rictor-2) (Protor-2)	PRR5L PROTOR2	Homo sapiens (Human)	368					Q6MZQ0-4
Q0VDD8	DYH14_HUMAN	reviewed	Dynein heavy chain 14, axonemal (Axonemal beta dynein heavy chain 14) (Ciliary dynein heavy chain 14)	DNAH14 C1orf67	Homo sapiens (Human)	3507				SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000305}.	Q0VDD8
