ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
EDEM1_HUMAN	ER degradation enhancing alpha-mannosidase like protein 1(EDEM1)	Homo sapiens		h_eradPathway:ERï¿½associated degradation (ERAD) Pathway,		GO:0006491~N-glycan processing,GO:0008152~metabolic process,GO:0030433~ER-associated ubiquitin-dependent protein catabolic process,GO:0030968~endoplasmic reticulum unfolded protein response,GO:0036498~IRE1-mediated unfolded protein response,GO:0036510~trimming of terminal mannose on C branch,GO:0097466~glycoprotein ERAD pathway,GO:1904154~positive regulation of retrograde protein transport, ER to cytosol,GO:1904380~endoplasmic reticulum mannose trimming,GO:1904382~mannose trimming involved in glycoprotein ERAD pathway,	GO:0005783~endoplasmic reticulum,GO:0016020~membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0044322~endoplasmic reticulum quality control compartment,	GO:0001948~glycoprotein binding,GO:0004559~alpha-mannosidase activity,GO:0004571~mannosyl-oligosaccharide 1,2-alpha-mannosidase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0051787~misfolded protein binding,	IPR001382:Glycoside hydrolase, family 47,	hsa04141:Protein processing in endoplasmic reticulum,				Alternative splicing,Complete proteome,Endoplasmic reticulum,Glycoprotein,Glycosidase,Hydrolase,Membrane,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,Unfolded protein response,	chain:ER degradation-enhancing alpha- mannosidase-like 1,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
FBX22_HUMAN	F-box protein 22(FBXO22)	Homo sapiens				GO:0000209~protein polyubiquitination,GO:0006464~cellular protein modification process,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006913~nucleocytoplasmic transport,GO:0009267~cellular response to starvation,GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0048742~regulation of skeletal muscle fiber development,GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,	GO:0005634~nucleus,GO:0030018~Z disc,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,	IPR001810:F-box domain, cyclin-like,IPR019494:FIST C domain,				SM01204:SM01204,	Acetylation,Alternative splicing,Complete proteome,Cytoplasm,Phosphoprotein,Proteomics identification,Reference proteome,Ubl conjugation pathway,	chain:F-box only protein 22,domain:F-box,modified residue,sequence conflict,splice variant,
RASH_HUMAN	HRas proto-oncogene, GTPase(HRAS)	Homo sapiens	65.Integrin_affinity_modulation,	h_at1rPathway:Angiotensin II mediated activation of JNK Pathway via Pyk2 dependent signaling,h_bArrestin-srcPathway:Roles of ï¿½-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling,h_bcrPathway:BCR Signaling Pathway,h_biopeptidesPathway:Bioactive Peptide Induced Signaling Pathway,h_cardiacEGFPathway:Role of EGF Receptor Transactivation by GPCRs in Cardiac Hypertrophy,h_ccr3Pathway:CCR3 signaling in Eosinophils,h_cdk5Pathway:Phosphorylation of MEK1 by cdk5/p35 down regulates the MAP kinase pathway,h_cdmacPathway:Cadmium induces DNA synthesis and proliferation in macrophages,h_crebPathway:Transcription factor CREB and its extracellular signals,h_cxcr4Pathway:CXCR4 Signaling Pathway,h_ecmPathway:Erk and PI-3 Kinase Are Necessary for Collagen Binding in Corneal Epithelia,h_egfPathway:EGF Signaling Pathway,h_epoPathway:EPO Signaling Pathway,h_erk5Pathway:Role of Erk5 in Neuronal Survival,h_erkPathway:Erk1/Erk2 Mapk Signaling pathway,h_etsPathway:METS affect on Macrophage Differentiation,h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_fmlpPathway:fMLP induced chemokine gene expression in HMC-1 cells,h_ghPathway:Growth Hormone Signaling Pathway,h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_gpcrPathway:Signaling Pathway from G-Protein Families,h_hbxPathway:Calcium Signaling by HBx of Hepatitis B virus,h_her2Pathway:Role of ERBB2 in Signal Transduction and Oncology,h_igf1Pathway:IGF-1 Signaling Pathway,h_igf1rPathway:Multiple antiapoptotic pathways from IGF-1R signaling lead to BAD phosphorylation,h_il2Pathway:IL 2 signaling pathway,h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation,h_il3Pathway:IL 3 signaling pathway,h_il6Pathway:IL 6 signaling pathway,h_insulinPathway:Insulin Signaling Pathway,h_integrinPathway:Integrin Signaling Pathway,h_keratinocytePathway:Keratinocyte Differentiation,h_longevityPathway:The IGF-1 Receptor and Longevity,h_malPathway:Role of MAL in Rho-Mediated Activation of SRF,h_mapkPathway:MAPKinase Signaling Pathway,h_mCalpainPathway:mCalpain and friends in Cell motility,h_metPathway:Signaling of Hepatocyte Growth Factor Receptor,h_mPRPathway:How Progesterone Initiates the Oocyte Maturation,h_nfatPathway:NFAT and Hypertrophy of the heart (Transcription in the broken heart),h_ngfPathway:Nerve growth factor pathway (NGF),h_p38mapkPathway:p38 MAPK Signaling Pathway ,h_pdgfPathway:PDGF Signaling Pathway,h_pmlPathway:Regulation of transcriptional activity by PML,h_pyk2Pathway:Links between Pyk2 and Map Kinases,h_raccycdPathway:Influence of Ras and Rho proteins on G1 to S Transition,h_rasPathway:Ras Signaling Pathway,h_reckPathway:Inhibition of Matrix Metalloproteinases,h_sam68Pathway:Regulation of Splicing through Sam68,h_sppaPathway:Aspirin Blocks Signaling Pathway Involved in Platelet Activation,h_spryPathway:Sprouty regulation of tyrosine kinase signals,h_tcrPathway:T Cell Receptor Signaling Pathway,h_tffPathway:Trefoil Factors Initiate  Mucosal Healing,h_tpoPathway:TPO Signaling Pathway,h_trkaPathway:Trka Receptor Signaling Pathway,h_vegfPathway:VEGF, Hypoxia, and Angiogenesis,		GO:0000165~MAPK cascade,GO:0001934~positive regulation of protein phosphorylation,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0006897~endocytosis,GO:0006935~chemotaxis,GO:0007050~cell cycle arrest,GO:0007093~mitotic cell cycle checkpoint,GO:0007165~signal transduction,GO:0007166~cell surface receptor signaling pathway,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007264~small GTPase mediated signal transduction,GO:0007265~Ras protein signal transduction,GO:0007411~axon guidance,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009887~organ morphogenesis,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0030335~positive regulation of cell migration,GO:0032729~positive regulation of interferon-gamma production,GO:0034260~negative regulation of GTPase activity,GO:0035176~social behavior,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0038128~ERBB2 signaling pathway,GO:0042088~T-helper 1 type immune response,GO:0042832~defense response to protozoan,GO:0043406~positive regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0045740~positive regulation of DNA replication,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046330~positive regulation of JNK cascade,GO:0046579~positive regulation of Ras protein signal transduction,GO:0048013~ephrin receptor signaling pathway,GO:0048169~regulation of long-term neuronal synaptic plasticity,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050852~T cell receptor signaling pathway,GO:0050900~leukocyte migration,GO:0051291~protein heterooligomerization,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0090303~positive regulation of wound healing,GO:0090398~cellular senescence,GO:0097193~intrinsic apoptotic signaling pathway,GO:1900029~positive regulation of ruffle assembly,GO:2000251~positive regulation of actin cytoskeleton reorganization,GO:2000630~positive regulation of miRNA metabolic process,	GO:0000139~Golgi membrane,GO:0005622~intracellular,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0003924~GTPase activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0008022~protein C-terminus binding,	IPR001806:Small GTPase superfamily,IPR005225:Small GTP-binding protein domain,IPR020849:Small GTPase superfamily, Ras type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04062:Chemokine signaling pathway,hsa04068:FoxO signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04144:Endocytosis,hsa04151:PI3K-Akt signaling pathway,hsa04360:Axon guidance,hsa04370:VEGF signaling pathway,hsa04510:Focal adhesion,hsa04540:Gap junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04720:Long-term potentiation,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04726:Serotonergic synapse,hsa04730:Long-term depression,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa04912:GnRH signaling pathway,hsa04915:Estrogen signaling pathway,hsa04916:Melanogenesis,hsa04917:Prolactin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04921:Oxytocin signaling pathway,hsa05034:Alcoholism,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05216:Thyroid cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05223:Non-small cell lung cancer,hsa05230:Central carbon metabolism in cancer,hsa05231:Choline metabolism in cancer,	109800~Bladder cancer, somatic,137550~Spitz nevus or nevus spilus, somatic,162900~Nevus sebaceous or woolly hair nevus, somatic,163200~Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic,188470~Thyroid carcinoma, follicular, somatic,218040~Congenital myopathy with excess of muscle spindles,218040~Costello syndrome,			3D-structure,Acetylation,Alternative splicing,Cell membrane,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,Golgi apparatus,GTP-binding,Lipoprotein,Membrane,Methylation,Nucleotide-binding,Nucleus,Palmitate,Prenylation,Proto-oncogene,Reference proteome,S-nitrosylation,	chain:GTPase HRas,chain:GTPase HRas, N-terminally processed,helix,lipid moiety-binding region:S-farnesyl cysteine,lipid moiety-binding region:S-palmitoyl cysteine,modified residue,mutagenesis site,nucleotide phosphate-binding region:GTP,propeptide:Removed in mature form,region of interest:Hypervariable region,sequence variant,short sequence motif:Effector region,strand,turn,
ICOSL_HUMAN	ICOS ligand(LOC102723996)	Homo sapiens				GO:0002250~adaptive immune response,GO:0006952~defense response,GO:0006972~hyperosmotic response,GO:0007165~signal transduction,GO:0031295~T cell costimulation,GO:0042104~positive regulation of activated T cell proliferation,GO:0042110~T cell activation,GO:0042113~B cell activation,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0005102~receptor binding,	IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,				SM00409:IG,	Adaptive immunity,Alternative splicing,B-cell activation,Complete proteome,Disulfide bond,Glycoprotein,Immunity,Immunoglobulin domain,Membrane,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,
MYCBP_HUMAN	MYC binding protein(MYCBP)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007283~spermatogenesis,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0003713~transcription coactivator activity,GO:0005515~protein binding,	IPR026060:Associate of Myc 1,					3D-structure,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Mitochondrion,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:C-Myc-binding protein,helix,sequence conflict,strand,turn,
OTUB2_HUMAN	OTU deubiquitinase, ubiquitin aldehyde binding 2(OTUB2)	Homo sapiens				GO:0016579~protein deubiquitination,GO:0035871~protein K11-linked deubiquitination,GO:0070536~protein K63-linked deubiquitination,GO:0071108~protein K48-linked deubiquitination,	GO:0005634~nucleus,	GO:0004843~thiol-dependent ubiquitin-specific protease activity,GO:0005515~protein binding,GO:0019784~NEDD8-specific protease activity,GO:0043130~ubiquitin binding,	IPR003323:Ovarian tumour, otubain,IPR016615:Ubiquitin thioesterase Otubain,IPR019400:Peptidase C65, otubain,			PIRSF013503:ubiquitin thioesterase Otubain,		3D-structure,Alternative splicing,Complete proteome,Hydrolase,Protease,Reference proteome,Thiol protease,Ubl conjugation pathway,	chain:Ubiquitin thioesterase OTUB2,domain:OTU,helix,mutagenesis site,site:Required to orient and stabilize the active site H-224,splice variant,strand,
U3KQ96_HUMAN	POU class 2 homeobox 2(POU2F2)	Homo sapiens	79.B_cell_Activation,			GO:0002335~mature B cell differentiation,GO:0002380~immunoglobulin secretion involved in immune response,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0006959~humoral immune response,GO:0042795~snRNA transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048469~cell maturation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0019904~protein domain specific binding,GO:0043565~sequence-specific DNA binding,	IPR000327:POU-specific,IPR000972:Octamer-binding transcription factor,IPR001356:Homeodomain,IPR009057:Homeodomain-like,IPR010982:Lambda repressor-like, DNA-binding domain,IPR013847:POU domain,IPR017970:Homeobox, conserved site,				SM00352:POU,SM00389:HOX,	3D-structure,Activator,Alternative splicing,Complete proteome,Cytoplasm,DNA-binding,Homeobox,Nucleus,Proteomics identification,Reference proteome,Transcription,Transcription regulation,	chain:POU domain, class 2, transcription factor 2,compositionally biased region:Gly-rich,DNA-binding region:Homeobox,domain:Leucine-zipper,domain:POU-specific,helix,modified residue,mutagenesis site,splice variant,turn,
RPOM_HUMAN	RNA polymerase mitochondrial(POLRMT)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006390~transcription from mitochondrial promoter,GO:0006391~transcription initiation from mitochondrial promoter,GO:0007005~mitochondrion organization,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0042645~mitochondrial nucleoid,	GO:0003677~DNA binding,GO:0003899~DNA-directed RNA polymerase activity,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,	IPR002092:DNA-directed RNA polymerase, phage-type,IPR024075:DNA-directed RNA polymerase, helix hairpin domain,				SM01311:SM01311,	3D-structure,Complete proteome,DNA-directed RNA polymerase,Mitochondrion,Nucleotidyltransferase,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transferase,Transit peptide,	chain:DNA-directed RNA polymerase, mitochondrial,modified residue,sequence conflict,sequence variant,transit peptide:Mitochondrion,
RHG06_HUMAN	Rho GTPase activating protein 6(ARHGAP6)	Homo sapiens		h_rhoPathway:Rho cell motility signaling pathway,		GO:0007015~actin filament organization,GO:0007165~signal transduction,GO:0007202~activation of phospholipase C activity,GO:0007266~Rho protein signal transduction,GO:0009967~positive regulation of signal transduction,GO:0010518~positive regulation of phospholipase activity,GO:0030041~actin filament polymerization,GO:0043547~positive regulation of GTPase activity,GO:0048041~focal adhesion assembly,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051497~negative regulation of stress fiber assembly,GO:0051895~negative regulation of focal adhesion assembly,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005884~actin filament,GO:0015629~actin cytoskeleton,	GO:0005070~SH3/SH2 adaptor activity,GO:0005096~GTPase activator activity,GO:0016004~phospholipase activator activity,GO:0017124~SH3 domain binding,GO:0043274~phospholipase binding,	IPR000198:Rho GTPase-activating protein domain,IPR008936:Rho GTPase activation protein,				SM00324:RhoGAP,	Alternative splicing,Complete proteome,Cytoplasm,GTPase activation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH3-binding,	chain:Rho GTPase-activating protein 6,domain:Rho-GAP,modified residue,sequence conflict,sequence variant,short sequence motif:SH3-binding,splice variant,
SDA1_HUMAN	SDA1 domain containing 1(SDAD1)	Homo sapiens				GO:0000055~ribosomal large subunit export from nucleus,GO:0015031~protein transport,GO:0030036~actin cytoskeleton organization,GO:0042273~ribosomal large subunit biogenesis,	GO:0005623~cell,GO:0005634~nucleus,GO:0005730~nucleolus,		IPR007949:SDA1 domain,IPR012977:Uncharacterised domain NUC130/133, N-terminal,IPR016024:Armadillo-type fold,IPR027312:Sda1,					Alternative splicing,Coiled coil,Complete proteome,Nucleus,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Ribosome biogenesis,Transport,	chain:Protein SDA1 homolog,modified residue,sequence conflict,sequence variant,splice variant,
SH3K1_HUMAN	SH3 domain containing kinase binding protein 1(SH3KBP1)	Homo sapiens		h_cblPathway:CBL mediated ligand-induced downregulation of EGF receptors,		GO:0006897~endocytosis,GO:0006915~apoptotic process,GO:0007010~cytoskeleton organization,GO:0007267~cell-cell signaling,GO:0008360~regulation of cell shape,GO:0016477~cell migration,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0005925~focal adhesion,GO:0016021~integral component of membrane,GO:0030139~endocytic vesicle,GO:0030659~cytoplasmic vesicle membrane,GO:0043005~neuron projection,GO:0045202~synapse,	GO:0005515~protein binding,GO:0016301~kinase activity,GO:0017124~SH3 domain binding,	IPR001452:Src homology-3 domain,IPR013315:Spectrin alpha chain, SH3 domain,	hsa04144:Endocytosis,			SM00326:SH3,	3D-structure,Alternative splicing,Apoptosis,Cell junction,Coiled coil,Complete proteome,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Endocytosis,Kinase,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,SH3 domain,SH3-binding,Synapse,Synaptosome,Transferase,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:SH3 domain-containing kinase-binding protein 1,compositionally biased region:Pro-rich,domain:SH3 1,domain:SH3 2,domain:SH3 3,helix,modified residue,sequence conflict,sequence variant,splice variant,strand,turn,
TIMP1_HUMAN	TIMP metallopeptidase inhibitor 1(TIMP1)	Homo sapiens		h_reckPathway:Inhibition of Matrix Metalloproteinases,		GO:0001775~cell activation,GO:0002576~platelet degranulation,GO:0007568~aging,GO:0008284~positive regulation of cell proliferation,GO:0009725~response to hormone,GO:0010951~negative regulation of endopeptidase activity,GO:0022617~extracellular matrix disassembly,GO:0034097~response to cytokine,GO:0042060~wound healing,GO:0043066~negative regulation of apoptotic process,GO:0043086~negative regulation of catalytic activity,GO:0043434~response to peptide hormone,GO:0051045~negative regulation of membrane protein ectodomain proteolysis,GO:0051216~cartilage development,GO:1901164~negative regulation of trophoblast cell migration,GO:1905049~negative regulation of metallopeptidase activity,GO:2001044~regulation of integrin-mediated signaling pathway,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,	GO:0002020~protease binding,GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0008191~metalloendopeptidase inhibitor activity,GO:0046872~metal ion binding,	IPR001134:Netrin domain,IPR001820:Proteinase inhibitor I35, tissue inhibitor of metalloproteinase,IPR008993:Tissue inhibitor of metalloproteinases-like, OB-fold,IPR015611:Tissue inhibitor of metalloprotease 1,IPR027465:Proteinase inhibitor I35, tissue inhibitor of metalloproteinase, C-terminal domain,	hsa04066:HIF-1 signaling pathway,			SM00206:NTR,	3D-structure,Collagen,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Growth factor,Metal-binding,Metalloenzyme inhibitor,Metalloprotease inhibitor,Phosphoprotein,Protease inhibitor,Proteomics identification,Reference proteome,Secreted,Signal,Zinc,	chain:Metalloproteinase inhibitor 1,disulfide bond,domain:NTR,glycosylation site:N-linked (GlcNAc...),helix,metal ion-binding site:Zinc; via amide nitrogen and carbonyl oxygen; shared with metalloproteinase partner,mutagenesis site,region of interest:Involved in metalloproteinase-binding,sequence conflict,signal peptide,strand,turn,
TNAP2_HUMAN	TNF alpha induced protein 2(TNFAIP2)	Homo sapiens				GO:0001525~angiogenesis,GO:0006887~exocytosis,GO:0030154~cell differentiation,GO:0051601~exocyst localization,	GO:0000145~exocyst,GO:0005615~extracellular space,	GO:0000149~SNARE binding,	IPR010326:Exocyst complex component Sec6,					Angiogenesis,Complete proteome,Developmental protein,Differentiation,Polymorphism,Proteomics identification,Reference proteome,	chain:Tumor necrosis factor, alpha-induced protein 2,compositionally biased region:Lys-rich (basic),compositionally biased region:Poly-Ala,compositionally biased region:Poly-Glu,sequence variant,
TSG6_HUMAN	TNF alpha induced protein 6(TNFAIP6)	Homo sapiens				GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0030335~positive regulation of cell migration,GO:0030728~ovulation,GO:0050728~negative regulation of inflammatory response,	GO:0005615~extracellular space,	GO:0005515~protein binding,GO:0005540~hyaluronic acid binding,	IPR000538:Link,IPR000859:CUB domain,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,				SM00042:CUB,SM00445:LINK,	3D-structure,Cell adhesion,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Polymorphism,Reference proteome,Signal,	chain:Tumor necrosis factor-inducible gene 6 protein,disulfide bond,domain:CUB,domain:Link,glycosylation site:N-linked (GlcNAc...),helix,modified residue,sequence variant,signal peptide,strand,
TR11B_HUMAN	TNF receptor superfamily member 11b(TNFRSF11B)	Homo sapiens				GO:0001501~skeletal system development,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007584~response to nutrient,GO:0030198~extracellular matrix organization,GO:0032026~response to magnesium ion,GO:0032496~response to lipopolysaccharide,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0042127~regulation of cell proliferation,GO:0042489~negative regulation of odontogenesis of dentin-containing tooth,GO:0042493~response to drug,GO:0042981~regulation of apoptotic process,GO:0043410~positive regulation of MAPK cascade,GO:0043627~response to estrogen,GO:0045779~negative regulation of bone resorption,GO:0046685~response to arsenic-containing substance,GO:0097190~apoptotic signaling pathway,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0004872~receptor activity,GO:0005031~tumor necrosis factor-activated receptor activity,GO:0005125~cytokine activity,	IPR000488:Death domain,IPR001368:TNFR/NGFR cysteine-rich region,IPR011029:Death-like domain,IPR011641:Tyrosine-protein kinase ephrin type A/B receptor-like,IPR017371:Tumour necrosis factor receptor 11B,IPR022323:Tumour necrosis factor receptor 11,	hsa04060:Cytokine-cytokine receptor interaction,hsa04380:Osteoclast differentiation,	239000~Paget disease of bone 5, juvenile-onset,	PIRSF038065:tumor necrosis factor receptor superfamily member 11B,	SM00005:DEATH,SM00208:TNFR,SM01411:SM01411,	3D-structure,Apoptosis,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Secreted,Signal,	chain:Tumor necrosis factor receptor superfamily member 11B,disulfide bond,domain:Death 1,domain:Death 2,glycosylation site:N-linked (GlcNAc...),mutagenesis site,repeat:TNFR-Cys 1,repeat:TNFR-Cys 2,repeat:TNFR-Cys 3,repeat:TNFR-Cys 4,sequence conflict,sequence variant,signal peptide,site:Involved in dimerization,
AF1L2_HUMAN	actin filament associated protein 1 like 2(AFAP1L2)	Homo sapiens				GO:0006954~inflammatory response,GO:0007346~regulation of mitotic cell cycle,GO:0032675~regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0045893~positive regulation of transcription, DNA-templated,GO:0061098~positive regulation of protein tyrosine kinase activity,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0017124~SH3 domain binding,GO:0030296~protein tyrosine kinase activator activity,GO:0035591~signaling adaptor activity,GO:0042169~SH2 domain binding,	IPR001849:Pleckstrin homology domain,IPR011993:Pleckstrin homology-like domain,				SM00233:PH,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Actin filament-associated protein 1-like 2,domain:PH 1,domain:PH 2,helix,modified residue,mutagenesis site,sequence conflict,sequence variant,splice variant,strand,turn,
